Date,FTSE,BLND,ABF,BATS,DLG,CRDA,LSE,FERG,CPG,SBRY,GLEN,GVC,COCA,BKG,BNZL,BRBY,EZJ,EXPN,HLMA,LLOYD,MKS,MRW,RR,SGE,STAN,TESCO,SLA,SMDS,SSE,RMV,NMC
1/2/2015,6547.799805,631.972778,3015.24707,2886.866699,267.651398,2542.209961,2117.309326,3548.787842,1024.857544,206.654877,264.761993,416.706909,1081.066528,2098.321289,1638.871704,1470.467529,1457.314209,1008.632874,627.014099,65.765747,389.467651,160.118988,811.932129,419.026398,856.569885,184.046432,397.687073,262.878601,1217.975098,145.592484,447.370575
1/5/2015,6417.200195,635.704834,2922.732178,2853.839111,268.108734,2517.735596,2098.268311,3499.716064,1005.238586,198.249466,251.751099,417.575073,1046.486938,2098.321289,1611.281372,1455.074829,1474.632202,986.525635,638.405762,64.444374,372.896301,154.263123,801.601013,419.026398,843.216614,177.781036,385.44931,260.517242,1201.290649,140.908218,450.209442
1/6/2015,6366.5,633.63147,2915.179688,2860.527344,265.179535,2530.401855,2069.70752,3443.898193,985.619507,199.183411,253.176926,416.706909,1041.0271,2077.040283,1605.763306,1450.547363,1456.44812,963.497742,629.38739,62.93301,370.937103,151.815887,802.070557,411.860535,843.127686,175.039902,380.175781,257.747864,1213.424927,138.186279,450.307343
1/7/2015,6419.799805,646.071838,2883.082764,2851.329834,268.566864,2546.088135,2084.940186,3483.352539,990.290771,194.938217,253.800751,417.141052,1032.837036,2082.147217,1619.55835,1472.278442,1423.544067,986.525635,634.133972,63.053925,378.120789,149.805634,807.236206,412.039703,856.213562,178.172607,384.653137,258.237152,1213.424927,139.135788,461.565033
1/8/2015,6570,651.444092,2922.732178,2937.037354,271.9534,2597.035645,2109.692871,3596.902344,1019.252014,214.296204,260.618134,418.009155,1051.946899,2085.55249,1660.944214,1494.915161,1399.298584,1004.948425,648.373352,63.995289,364.814667,161.430008,828.367981,417.055817,864.136414,204.849548,393.807251,266.05484,1213.424927,142.743958,492.401276
1/9/2015,6501.100098,647.26001,2905.739258,2903.172119,273.875763,2593.065674,2108.740723,3559.371826,1009.909729,205.296432,255.048401,415.838837,1026.467285,1996.171387,1666.46228,1491.293091,1411.421265,1006.790588,655.967896,63.684372,365.712616,154.088318,809.584167,414.368561,841.346924,199.807861,386.344727,268.25354,1209.632935,136.540436,476.934235
1/12/2015,6501.399902,656.046387,2933.116211,2944.980469,276.530548,2595.995117,2087.796143,3525.696777,1036.068237,204.022873,249.033081,418.877289,1023.737122,1969.783325,1682.096924,1505.780518,1412.287109,1004.027039,645.525452,63.53756,365.95755,154.612717,815.688965,416.518341,820.070557,200.248383,387.438904,273.546997,1139.860962,134.514786,489.464539
1/13/2015,6542.200195,657.301636,2956.717285,2997.241211,282.022369,2623.398682,2149.677979,3546.864014,1043.542358,211.409454,239.675995,413.668518,1035.567139,2005.5354,1678.418213,1506.686035,1433.934692,1001.263794,652.645386,63.917568,377.957489,161.51741,810.053711,415.085175,829.329163,207.541718,392.115631,271.266998,1155.786987,136.413849,488.485565
1/14/2015,6388.5,653.954346,2865.145752,2938.709961,276.987885,2603.833984,2105.884766,3455.448242,1032.331299,206.400162,217.441666,414.536591,972.777771,1987.659424,1648.068604,1486.765991,1401.89624,980.998962,642.202942,62.95892,368.406555,156.535553,800.661865,413.741608,788.823914,209.499664,376.494598,262.064636,1128.484985,135.084518,491.422363
1/15/2015,6498.799805,665.669556,2970.877686,3001.422119,279.734161,2645.892578,2146.822021,3555.524414,1019.252014,216.758408,214.411728,418.009155,983.697693,1989.36145,1678.418213,1524.795288,1424.409668,1032.582031,644.101685,64.064369,372.896301,164.401672,801.131409,418.936859,798.616516,214.639252,385.44931,263.285614,1122.417969,136.856949,479.675232
