Day,Name,FTSE ,CALL ,CP,Diff,Rate,Daysto_Maturity,ImpVol,Vol,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
67,4/3/2018,7030.46,354,165,189,0.01359,0.528767123,,,193,1.359
68,4/4/2018,7034.01,278.5,164.36,114.14,0.01368,0.526027397,,,192,
69,4/5/2018,7199.5,287,117.57476,169.42524,0.01418,0.523287671,,,191,
70,4/6/2018,7183.64,276,121.5,154.5,0.01395,0.520547945,,,190,
71,4/9/2018,7194.75,246.5,118.0464,128.4536,0.01406,0.517808219,,,189,
72,4/10/2018,7266.75,249.5,100,149.5,0.01407,0.515068493,,,188,
73,4/11/2018,7257.14,241.5,102,139.5,0.01388,0.512328767,,,187,
74,4/12/2018,7258.34,234.5,101.53791,132.96209,0.01456,0.509589041,,,186,
75,4/13/2018,7264.56,250,,,0.01437,0.506849315,,,185,
76,4/16/2018,7198.2,227,,,0.01464,0.504109589,,,184,
77,4/17/2018,7226.05,200.5,,,0.01437,0.501369863,,,183,
78,4/18/2018,7317.34,196,,,0.01416,0.498630137,,,182,
79,4/19/2018,7328.92,188.5,,,0.0152,0.495890411,,,181,
80,4/20/2018,7368.17,175,,,0.0148,0.493150685,,,180,
81,4/23/2018,7398.87,169,,,0.01538,0.490410959,,,179,
82,4/24/2018,7425.4,180.5,,,0.01541,0.487671233,,,178,
83,4/25/2018,7379.32,162.5,,,0.0154,0.484931507,,,177,
84,4/26/2018,7421.43,148,,,0.01506,0.482191781,,,176,
85,4/27/2018,7502.21,144,,,0.01446,0.479452055,,,175,
86,4/30/2018,7509.3,141.5,,,0.01419,0.476712329,,,174,
