FTSE,Volatility,Original,Call Price,Rate of Interest,,,
7030.46,,,,,,,
7034.01,-0.000504691,-0.050469078,,,,,
7199.5,-0.022986318,-2.298631849,,,,,
7183.64,0.002207794,0.220779438,,,,,
7194.75,-0.001544182,-0.154418152,,,,,
7266.75,-0.009908143,-0.990814326,,,,,
7257.14,0.001324213,0.132421312,,,,,
7258.34,-0.000165327,-0.016532706,,,,,
7264.56,-0.000856212,-0.085621153,,,,,
7198.2,0.009218971,0.921897141,,,,,
7226.05,-0.003854111,-0.385411117,,,,,
7317.34,-0.012475845,-1.247584505,,,,,
7328.92,-0.001580042,-0.158004181,,,,,
7368.17,-0.005326967,-0.532696721,,,,,
7398.87,-0.004149282,-0.414928226,,,,,
7425.4,-0.003572871,-0.35728715,,,,,
7379.32,0.006244478,0.624447781,,,,,
7421.43,-0.005674109,-0.567410863,,,,,
7502.21,-0.010767494,-1.076749385,,,,,
7509.3,-0.000944163,-0.094416257,,,,,
7520.36,-0.001470674,-0.147067428,,,,,
7543.2,-0.003027893,-0.302789267,,,,,
7502.69,0.005399397,0.539939675,,,,,
7567.14,-0.008517088,-0.851708836,,,,,
7567.14,0,0,,,,,
7565.75,0.000183723,0.01837227,,,,,
7662.52,-0.012629005,-1.262900456,,,,,
7700.97,-0.004992878,-0.499287752,,,,,
7724.55,-0.003052605,-0.305260501,,,,,
7710.98,0.001759828,0.175982819,,,,,
7722.98,-0.001553804,-0.155380436,,,,,
7734.2,-0.001450699,-0.145069949,,,,,
7787.97,-0.006904238,-0.69042382,,,,,
7778.79,0.001180132,0.118013213,,,,,
7859.17,-0.010227543,-1.022754311,,,,,
7877.45,-0.002320548,-0.232054789,,,,,
7788.44,0.011428476,1.142847605,,,,,
7716.74,0.009291488,0.929148837,,,,,
7730.28,-0.001751554,-0.175155363,,,,,
7730.28,0,0,,,,,
7632.64,0.012792428,1.279242831,,,,,
7689.57,-0.007403535,-0.740353492,,,,,
7678.2,0.001480816,0.148081582,,,,,
7701.77,-0.003060335,-0.306033548,,,,,
7741.29,-0.005105092,-0.51050923,,,,,
7686.8,0.007088776,0.708877556,,,,,
7712.37,-0.003315453,-0.331545297,,,,,
7704.4,0.001034474,0.103447381,,,,,
7681.07,0.003037337,0.303733725,,,,,
7737.43,-0.007284072,-0.728407236,,,,,
7703.81,0.004364074,0.43640744,,,,,
7703.71,1.29808E-05,0.001298076,,,,,
7765.79,-0.007994035,-0.799403538,,,,,
7633.91,0.017275551,1.72755508,,,,,
7631.33,0.00033808,0.033807999,,,,,
7603.85,0.003613959,0.361395872,,,,,
7627.4,-0.003087553,-0.308755277,,,,,
7556.44,0.009390665,0.939066545,,,,,
7682.27,-0.016379273,-1.637927331,,,,,
7509.84,0.022960542,2.296054243,,,,,
7537.92,-0.003725166,-0.372516556,,,,,
7621.69,-0.010991001,-1.099100068,,,,,
7615.63,0.000795732,0.079573194,,,,,
7636.93,-0.002789079,-0.278907886,,,,,
7547.85,0.011802036,1.180203634,,,,,
7593.29,-0.005984231,-0.598423081,,,,,
7573.09,0.002667339,0.266733922,,,,,
7603.22,-0.003962795,-0.396279471,,,,,
7617.7,-0.001900836,-0.190083621,,,,,
7687.99,-0.009142832,-0.914283187,,,,,
7692.04,-0.000526518,-0.052651832,,,,,
7591.96,0.013182367,1.318236661,,,,,
