Day,Name,FTSE ,CallTrue6800,CallEst6800,PutEst6800,PutTrue6800,CallTrue7600,CallEst7600,PutEst7600,PutTrue7600,ImpVol,Vol,Days to Expire
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
67,4/3/2018,7030.46,373.5,381,136,354,72.5,67,613,709,,,193
68,4/4/2018,7034.01,375,501,90,278.5,102,106,489,728.5,,,192
69,4/5/2018,7199.5,467.5,488,92,287,97,102,500,712,,,191
70,4/6/2018,7183.64,451,496,89,276,97.5,105,493,652.5,,,190
71,4/9/2018,7194.75,457,552,74,246.5,113.5,127,438,657.5,,,189
72,4/10/2018,7266.75,503,543,76,249.5,113.5,123,445,648,,,188
73,4/11/2018,7257.14,501.5,547,77,241.5,110,123,444,637.5,,,187
74,4/12/2018,7258.34,499,545,73,234.5,109.5,126,440,680,,,186
75,4/13/2018,7264.56,502.5,487,85,250,92,105,485,647.5,,,185
76,4/16/2018,7198.2,458,518,79,227,92.5,111,464,583,,,184
77,4/17/2018,7226.05,468,591,61,200.5,113,141,403,571,,,183
78,4/18/2018,7317.34,526,602,59,196,118,145,396,549.5,,,182
79,4/19/2018,7328.92,539,635,52,188.5,127,159,371,519.5,,,181
80,4/20/2018,7368.17,562,659,47,175,137,170,357,505,,,180
81,4/23/2018,7398.87,589,681,43,169,141,180,360,532,,,179
82,4/24/2018,7425.4,601,642,49,180.5,128,162,363,494.5,,,178
