Day,FTSE,Rate fra,in fraction,Vol,4800,5600,6300,6800,7200,7600,8000,8400,8800,9200,Daysto
231,6947.92,0.014,0.08,0.094998,2,10,40,125.5,322.5,668.5,1064,1463,1863,2262.5,29
232,7050.23,0.014,0.08,0.095141,1.5,5.5,24,83.5,241,562,953.5,1352,1751.5,2151,28
233,6960.32,0.014,0.07,0.09887,2,8.5,33,109,298.5,645,1040,1439,1838.5,2238,27
234,6952.86,0.014,0.07,0.100797,2,7.5,31.5,109,304,652.5,1048.5,1448,1847.5,2247,26
235,7036,0.014,0.07,0.100797,1,5,21.5,79,239.5,566.5,959.5,1359,1758.5,2158,25
236,7016.85,0.014,0.07,0.103132,1,5,22.5,83,250.5,583.5,978,1377,1777,2176.5,24
237,7004.52,0.014,0.06,0.103149,1,5,23,88,263.5,600.5,995.5,1394.5,1794.5,2194,23
238,7038.95,0.014,0.06,0.102558,1,5,21,75,230,552.5,945,1344,1743.5,2143,22
239,6980.24,0.014,0.06,0.102583,1,5,23.5,93,287,638.5,1034.5,1433.5,1833,2233,21
240,7062.41,0.013,0.05,0.10296,0.5,3.5,16,62.5,208,531,924.5,1324,1723.5,2123.5,20
241,7022.76,0.013,0.05,0.103746,1,4.5,18.5,72.5,238.5,576.5,972,1371.5,1771,2170.5,19
242,6921.84,0.013,0.05,0.102477,1.5,6,28.5,109,315.5,672.5,1069.5,1469,1868.5,2268,18
243,6704.05,0.012,0.05,0.104651,6,21.5,84,255.5,550,932,1330,1729.5,2129.5,2529,17
244,6778.11,0.013,0.04,0.116174,4,15,59.5,189.5,445,814.5,1211,1610.5,2010,2409.5,16
245,6721.54,0.012,0.04,0.117384,2.5,15.5,70.5,217.5,494,872.5,1270,1670,2069.5,2469,15
246,6806.94,0.012,0.04,0.117782,2,9,41.5,151.5,399.5,771.5,1169,1568.5,1968,2368,14
247,6880.19,0.013,0.04,0.120096,1.5,7,32.5,124.5,353.5,720.5,1118,1517.5,1917,2317,13
248,6877.5,0.013,0.03,0.121743,1,5,26,116.5,356.5,731,1129,1528.5,1928.5,2328,12
249,6845.17,0.012,0.03,0.121258,1,5,29,130,390,772,1171,1570.5,1970.5,2370,11
250,6773.24,0.013,0.03,0.121289,0.5,5,34,154,434.5,822.5,1221.5,1621,2021,2420.5,10
251,6701.59,0.013,0.02,0.122181,0.5,6,43,190,498.5,890.5,1290,1689.5,2089.5,2489,9
252,6765.94,0.013,0.02,0.123233,1,5.5,31.5,149,432.5,821.5,1220.5,1620,2020,2419.5,8
253,6711.93,0.013,0.02,0.124603,1,6,40,186,494.5,887,1287,1686.5,2086.5,2486,7
254,6721.17,0.013,0.02,0.124791,1,4.5,35.5,184,503,897.5,1297.5,1697,2097,2496.5,6
255,6685.99,0.013,0.01,0.124413,1.5,6,40.5,201.5,530.5,926.5,1326.5,1726,2126,2526,5
256,6685.99,0.013,0.01,0.120639,1.5,6,40.5,201.5,530.5,926.5,1326.5,1726,2126,2526,4
257,6685.99,0.013,0.01,0.120594,1.5,6,40.5,201.5,530.5,926.5,1326.5,1726,2126,2526,3
258,6584.68,0.013,0.01,0.119791,1,7,59,264,612,1009,1409,1809,2208.5,2608.5,2
259,6733.97,0.013,0,0.121906,0.5,3.5,29.5,163,468,863,1263,1663,2062.5,2462.5,1
260,6728.13,0.013,0,0.128363,0.5,3,27,164,481.5,878.5,1278.5,1678.5,2078.5,2478,0
